Name,Main_Language,Location,Date,Pushed_to_repos,Main_languages,Tota_issues,Total_forks,Total_stars,Followers,Following
google,C++,,18/01/2012,100 ,17 ,12700 ,49918 ,253737 ,0 ,0 
Microsoft,TypeScript,"Redmond, WA",11/12/2013,100 ,21 ,25812 ,61549 ,393911 ,0 ,0 
facebook,C++,"Menlo Park, California",2/04/2009,100 ,15 ,12852 ,136421 ,757326 ,0 ,0 
apache,Java,,18/01/2009,100 ,15 ,15336 ,136559 ,307848 ,0 ,0 
alibaba,Java,"Hangzhou, China",12/07/2012,100 ,16 ,8821 ,71863 ,299913 ,0 ,0 
vuejs,JavaScript, All Over the World,7/12/2013,100 ,7 ,3878 ,73624 ,407351 ,0 ,0 
tensorflow,Python,,5/11/2015,88 ,15 ,10087 ,162851 ,367721 ,0 ,0 
freeCodeCamp,JavaScript,Just here on Earth... for now,22/11/2014,100 ,8 ,1249 ,38266 ,347835 ,0 ,0 
Tencent,C++," Shenzhen, China",14/04/2016,99 ,16 ,4209 ,60499 ,294955 ,0 ,0 
airbnb,JavaScript ,San Francisco,30/03/2011,100 ,18 ,2673 ,38817 ,269951 ,0 ,0 
github,JavaScript,"San Francisco, CA",11/05/2008,100 ,14 ,2304 ,99808 ,236866 ,0 ,0 
symfony,PHP,The Internet,24/10/2009,100 ,3 ,1940 ,18280 ,201979 ,0 ,0 
angular,JavaScript,,14/10/2009,100 ,7 ,9149 ,92466 ,239977 ,0 ,0 
fossasia,JavaScript,Singapore,14/10/2009,100 ,13 ,2228 ,18136 ,106705 ,0 ,0 
square,Java,,9/05/2009,100 ,16 ,1907 ,35596 ,195735 ,0 ,0 
facebookarchive,JavaScript,,13/05/2014,100 ,23 ,2601 ,28337 ,144293 ,0 ,0 
facebookresearch,Python ,"Menlo Park, California",29/01/2016,100 ,15 ,2668 ,28153 ,159775 ,0 ,0 
shadowsocks,C ,,10/12/2012,58 ,16 ,1469 ,87342 ,204696 ,0 ,0 
mozilla,Python,"Mountain View, California",26/09/2009,100 ,16 ,7895 ,20158 ,77877 ,0 ,0 
dotnet,PowerShell,,11/10/2014,100 ,6 ,30590 ,52272 ,118066 ,0 ,0 
twbs,JavaScript,San Francisco,29/11/2012,22 ,6 ,972 ,75506 ,176356 ,0 ,0 
zeit,JavaScript,Global,6/10/2015,99 ,10 ,3217 ,20977 ,166298 ,0 ,0 
Netflix,Java,"Los Gatos, California",14/07/2011,100 ,14 ,2512 ,20016 ,124571 ,0 ,0 
kubernetes,Go,,4/08/2015,68 ,5 ,6814 ,61289 ,154460 ,0 ,0 
nodejs,JavaScript,,26/11/2014,100 ,9 ,3798 ,28719 ,111395 ,0 ,0 
spring-projects,Java ,,30/06/2010,100 ,9 ,5778 ,103206 ,142860 ,0 ,0 
EbookFoundation,Python, virtual,4/09/2015,19 ,6 ,97 ,36214 ,149815 ,0 ,0 
golang,Go,,2/05/2013,50 ,4 ,7255 ,23660 ,145015 ,0 ,0 
hashicorp,Go,"San Francisco, CA",1/05/2011,100 ,9 ,6074 ,26345 ,116749 ,0 ,0 
elastic,GO,,24/02/2014,100 ,18 ,16507 ,40610 ,123183 ,0 ,0 
apple,swift,"Cupertino, CA",22/01/2015,86 ,10 ,2544 ,20270 ,137835 ,0 ,0 
laravel,php,,4/08/2011,54 ,7 ,1617 ,38754 ,133044 ,0 ,0 
ReactiveX,java,,15/01/2014,41 ,15 ,1188 ,18607 ,129178 ,0 ,0 
flutter,dart,,3/09/2015,32 ,9 ,9423 ,28292 ,127778 ,0 ,0 
h5bp,JavaScript,,19/10/2011,26 ,5 ,101 ,25474 ,125073 ,0 ,0 
reduxjs,JavaScript,the moon,2/07/2015,16 ,2 ,330 ,19744 ,122887 ,0 ,0 
electron,JavaScript,"San Francisco, CA",20/07/2015,75 ,8 ,1958 ,21864 ,121711 ,0 ,0 
thoughtbot,ruby,USA & London,11/04/2008,99 ,16 ,1068 ,17352 ,102953 ,0 ,0 
rust-lang,rust,,11/09/2013,100 ,13 ,12620 ,20124 ,117205 ,0 ,0 
twitter,scala,"San Francisco, CA",30/01/2009,100 ,19 ,2661 ,20026 ,114518 ,0 ,0 
ant-design,JavaScript,"HangZhou, China",25/04/2015,83 ,4 ,1861 ,34086 ,112868 ,0 ,0 
docker,go,"San Francisco, CA",11/09/2013,80 ,14 ,9430 ,27877 ,109288 ,0 ,0 
d3,d3-plugins,"San Francisco, CA",22/03/2012,53 ,1 ,456 ,26504 ,108284 ,0 ,0 
ethereum,Python,,24/12/2013,100 ,19 ,5602 ,31569 ,89341 ,0 ,0 
awslabs,Python,"Seattle, WA",18/01/2013,100 ,15 ,3138 ,13823 ,44916 ,0 ,0 
